"","Response.variable","Model","Formula","K","a","b","c","AICc","deltaAICc","AICcWt","LL","df","F","P","adjR2"
"2","Epifauna abundance (# m^-2)","Hyperbolic","a * Gcvr/(b + Gcvr)",3,256.902,1.037,NA,534.876,0,1,-264.165,46,103.761,"<0.001",0.686
"5","Epifauna abundance (# m^-2)","Power","a + b * Gcvr^c",4,-15.804,156.704,0.146,554.573,19.697,0,-272.822,45,28.572,"<0.001",0.54
"3","Epifauna abundance (# m^-2)","Log","a + b * log(Gcvr + 1)",3,49.89,56.194,NA,556.954,22.078,0,-275.204,46,48.545,"<0.001",0.503
"4","Epifauna abundance (# m^-2)","Linear","a + b * Gcvr",3,148.303,2.071,NA,582.221,47.345,0,-287.838,46,9.851,"0.003",0.158
"1","Epifauna abundance (# m^-2)","Null","a",2,204.425,NA,NA,582.99,48.114,0,-292.495,47,0,"1",0
"21","Epifauna richness (taxa m^-2)","Hyperbolic","a * Gcvr/(b + Gcvr)",3,6.535,1.283,NA,118.515,0,1,-55.985,46,373.843,"<0.001",0.888
"51","Epifauna richness (taxa m^-2)","Power","a + b * Gcvr^c",4,-0.255,3.621,0.165,160.165,41.65,0,-75.617,45,68.125,"<0.001",0.741
"31","Epifauna richness (taxa m^-2)","Log","a + b * log(Gcvr + 1)",3,1.152,1.455,NA,163.888,45.373,0,-78.671,46,117.139,"<0.001",0.712
"41","Epifauna richness (taxa m^-2)","Linear","a + b * Gcvr",3,3.546,0.059,NA,207.449,88.934,0,-100.452,46,19.83,"<0.001",0.286
"11","Epifauna richness (taxa m^-2)","Null","a",2,5.152,NA,NA,216.109,97.594,0,-109.054,47,0,"1",0
"32","Dissolution (mass lost in g d^-1)","Log","a + b * log(Gcvr + 1)",3,9.352,-0.313,NA,107.402,0,0.783,-50.428,46,17.608,"<0.001",0.261
"52","Dissolution (mass lost in g d^-1)","Power","a + b * Gcvr^c",4,9.464,-0.493,0.253,110.486,3.084,0.167,-50.778,45,8.163,"0.001",0.234
"42","Dissolution (mass lost in g d^-1)","Linear","a + b * Gcvr",3,8.905,-0.015,NA,114.172,6.77,0.027,-53.813,46,9.241,"0.004",0.149
"12","Dissolution (mass lost in g d^-1)","Null","a",2,8.49,NA,NA,114.413,7.012,0.023,-58.207,47,0,"1",0
"22","Dissolution (mass lost in g d^-1)","Hyperbolic","a * Gcvr/(b + Gcvr)",3,8.372,-0.004,NA,242.294,134.892,0,-117.874,46,-42.171,"1",-11.276
"13","Sediment stabilization (delta cm mo^-1)","Null","a",2,0.067,NA,NA,13.285,0,0.913,-7.642,47,0,"1",0
